,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
87785,2021-10-26,Suffolk,Chelsea,30-49 Years,11744.0,12362.0,10655.0,,,1707.0
87786,2021-10-26,Suffolk,Chelsea,50-64 Years,5861.0,6395.0,5710.0,,,685.0
87787,2021-10-26,Suffolk,Chelsea,65-74 Years,2092.0,2273.0,2080.0,,,193.0
87788,2021-10-26,Suffolk,Chelsea,75+ Years,1471.0,1578.0,1387.0,,,191.0
87789,2021-10-26,Suffolk,Chelsea,Total,36918.0,31864.0,27553.0,,,4311.0
90478,2021-11-02,Suffolk,Chelsea,12-15 Years,1768.0,1755.0,1503.0,,,252.0
90479,2021-11-02,Suffolk,Chelsea,16-19 Years,1762.0,1852.0,1520.0,,,332.0
90480,2021-11-02,Suffolk,Chelsea,20-29 Years,6170.0,5714.0,4758.0,,,956.0
90481,2021-11-02,Suffolk,Chelsea,30-49 Years,11744.0,12438.0,10708.0,,,1730.0
90482,2021-11-02,Suffolk,Chelsea,50-64 Years,5861.0,6431.0,5720.0,,,711.0
90483,2021-11-02,Suffolk,Chelsea,65-74 Years,2092.0,2319.0,2096.0,,,223.0
90484,2021-11-02,Suffolk,Chelsea,75+ Years,1471.0,1603.0,1398.0,,,205.0
90485,2021-11-02,Suffolk,Chelsea,Total,36918.0,32113.0,27703.0,,,4410.0
93448,2021-11-09,Suffolk,Chelsea,5-11 Years,3144.0,103.0,,,,103.0
93449,2021-11-09,Suffolk,Chelsea,12-15 Years,1768.0,1772.0,1517.0,,,255.0
93450,2021-11-09,Suffolk,Chelsea,16-19 Years,1762.0,1866.0,1533.0,,,333.0
93451,2021-11-09,Suffolk,Chelsea,20-29 Years,6170.0,5762.0,4790.0,,,972.0
93452,2021-11-09,Suffolk,Chelsea,30-49 Years,11744.0,12531.0,10754.0,,,1777.0
93453,2021-11-09,Suffolk,Chelsea,50-64 Years,5861.0,6471.0,5723.0,,,748.0
93454,2021-11-09,Suffolk,Chelsea,65-74 Years,2092.0,2370.0,2107.0,,,263.0
93455,2021-11-09,Suffolk,Chelsea,75+ Years,1471.0,1628.0,1397.0,,,231.0
93456,2021-11-09,Suffolk,Chelsea,Total,36918.0,32504.0,27821.0,,,4683.0
