,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
55443,2021-08-03,Suffolk,Revere,65-74 Years,5047.0,4288.0,3962.0,,,326.0
55444,2021-08-03,Suffolk,Revere,75+ Years,4312.0,3136.0,2753.0,,,383.0
55445,2021-08-03,Suffolk,Revere,Total,60849.0,42824.0,37903.0,,,4921.0
58134,2021-08-10,Suffolk,Revere,12-15 Years,2613.0,1795.0,1454.0,,,341.0
58135,2021-08-10,Suffolk,Revere,16-19 Years,2844.0,2152.0,1820.0,,,332.0
58136,2021-08-10,Suffolk,Revere,20-29 Years,8303.0,6706.0,5726.0,,,980.0
58137,2021-08-10,Suffolk,Revere,30-49 Years,17705.0,15240.0,13483.0,,,1757.0
58138,2021-08-10,Suffolk,Revere,50-64 Years,12184.0,9918.0,8982.0,,,936.0
58139,2021-08-10,Suffolk,Revere,65-74 Years,5047.0,4302.0,3979.0,,,323.0
58140,2021-08-10,Suffolk,Revere,75+ Years,4312.0,3145.0,2758.0,,,387.0
58141,2021-08-10,Suffolk,Revere,Total,60849.0,43258.0,38202.0,,,5056.0
60830,2021-08-17,Suffolk,Revere,12-15 Years,2613.0,1856.0,1508.0,,,348.0
60831,2021-08-17,Suffolk,Revere,16-19 Years,2844.0,2201.0,1853.0,,,348.0
60832,2021-08-17,Suffolk,Revere,20-29 Years,8303.0,6813.0,5801.0,,,1012.0
60833,2021-08-17,Suffolk,Revere,30-49 Years,17705.0,15390.0,13588.0,,,1802.0
60834,2021-08-17,Suffolk,Revere,50-64 Years,12184.0,9966.0,9034.0,,,932.0
60835,2021-08-17,Suffolk,Revere,65-74 Years,5047.0,4315.0,3998.0,,,317.0
60836,2021-08-17,Suffolk,Revere,75+ Years,4312.0,3158.0,2767.0,,,391.0
60837,2021-08-17,Suffolk,Revere,Total,60849.0,43699.0,38549.0,,,5150.0
63526,2021-08-24,Suffolk,Revere,12-15 Years,2613.0,1912.0,1561.0,,,351.0
63527,2021-08-24,Suffolk,Revere,16-19 Years,2844.0,2235.0,1890.0,,,345.0
63528,2021-08-24,Suffolk,Revere,20-29 Years,8303.0,6900.0,5876.0,,,1024.0
63529,2021-08-24,Suffolk,Revere,30-49 Years,17705.0,15527.0,13722.0,,,1805.0
63530,2021-08-24,Suffolk,Revere,50-64 Years,12184.0,10000.0,9085.0,,,915.0
63531,2021-08-24,Suffolk,Revere,65-74 Years,5047.0,4331.0,4012.0,,,319.0
63532,2021-08-24,Suffolk,Revere,75+ Years,4312.0,3170.0,2783.0,,,387.0
63533,2021-08-24,Suffolk,Revere,Total,60849.0,44075.0,38929.0,,,5146.0
66222,2021-08-31,Suffolk,Revere,12-15 Years,2613.0,1967.0,1624.0,,,343.0
66223,2021-08-31,Suffolk,Revere,16-19 Years,2844.0,2264.0,1920.0,,,344.0
66224,2021-08-31,Suffolk,Revere,20-29 Years,8303.0,6999.0,5968.0,,,1031.0
66225,2021-08-31,Suffolk,Revere,30-49 Years,17705.0,15657.0,13864.0,,,1793.0
66226,2021-08-31,Suffolk,Revere,50-64 Years,12184.0,10047.0,9155.0,,,892.0
66227,2021-08-31,Suffolk,Revere,65-74 Years,5047.0,4345.0,4028.0,,,317.0
66228,2021-08-31,Suffolk,Revere,75+ Years,4312.0,3182.0,2796.0,,,386.0
66229,2021-08-31,Suffolk,Revere,Total,60849.0,44461.0,39355.0,,,5106.0
68918,2021-09-07,Suffolk,Revere,12-15 Years,2613.0,1996.0,1667.0,,,329.0
68919,2021-09-07,Suffolk,Revere,16-19 Years,2844.0,2278.0,1949.0,,,329.0
68920,2021-09-07,Suffolk,Revere,20-29 Years,8303.0,7067.0,6058.0,,,1009.0
68921,2021-09-07,Suffolk,Revere,30-49 Years,17705.0,15780.0,13996.0,,,1784.0
68922,2021-09-07,Suffolk,Revere,50-64 Years,12184.0,10099.0,9187.0,,,912.0
68923,2021-09-07,Suffolk,Revere,65-74 Years,5047.0,4355.0,4038.0,,,317.0
68924,2021-09-07,Suffolk,Revere,75+ Years,4312.0,3180.0,2796.0,,,384.0
68925,2021-09-07,Suffolk,Revere,Total,60849.0,44755.0,39691.0,,,5064.0
71614,2021-09-14,Suffolk,Revere,12-15 Years,2613.0,2024.0,1727.0,,,297.0
71615,2021-09-14,Suffolk,Revere,16-19 Years,2844.0,2301.0,1981.0,,,320.0
71616,2021-09-14,Suffolk,Revere,20-29 Years,8303.0,7144.0,6137.0,,,1007.0
71617,2021-09-14,Suffolk,Revere,30-49 Years,17705.0,15908.0,14123.0,,,1785.0
71618,2021-09-14,Suffolk,Revere,50-64 Years,12184.0,10141.0,9230.0,,,911.0
71619,2021-09-14,Suffolk,Revere,65-74 Years,5047.0,4360.0,4042.0,,,318.0
71620,2021-09-14,Suffolk,Revere,75+ Years,4312.0,3188.0,2807.0,,,381.0
71621,2021-09-14,Suffolk,Revere,Total,60849.0,45066.0,40047.0,,,5019.0
74310,2021-09-21,Suffolk,Revere,12-15 Years,2613.0,2048.0,1767.0,,,281.0
74311,2021-09-21,Suffolk,Revere,16-19 Years,2844.0,2318.0,2007.0,,,311.0
74312,2021-09-21,Suffolk,Revere,20-29 Years,8303.0,7228.0,6215.0,,,1013.0
74313,2021-09-21,Suffolk,Revere,30-49 Years,17705.0,16051.0,14252.0,,,1799.0
74314,2021-09-21,Suffolk,Revere,50-64 Years,12184.0,10189.0,9284.0,,,905.0
74315,2021-09-21,Suffolk,Revere,65-74 Years,5047.0,4369.0,4061.0,,,308.0
74316,2021-09-21,Suffolk,Revere,75+ Years,4312.0,3186.0,2807.0,,,379.0
74317,2021-09-21,Suffolk,Revere,Total,60849.0,45389.0,40393.0,,,4996.0
77006,2021-09-28,Suffolk,Revere,12-15 Years,2613.0,2070.0,1793.0,,,277.0
77007,2021-09-28,Suffolk,Revere,16-19 Years,2844.0,2338.0,2022.0,,,316.0
77008,2021-09-28,Suffolk,Revere,20-29 Years,8303.0,7285.0,6272.0,,,1013.0
77009,2021-09-28,Suffolk,Revere,30-49 Years,17705.0,16151.0,14336.0,,,1815.0
77010,2021-09-28,Suffolk,Revere,50-64 Years,12184.0,10212.0,9305.0,,,907.0
77011,2021-09-28,Suffolk,Revere,65-74 Years,5047.0,4380.0,4070.0,,,310.0
77012,2021-09-28,Suffolk,Revere,75+ Years,4312.0,3197.0,2814.0,,,383.0
77013,2021-09-28,Suffolk,Revere,Total,60849.0,45633.0,40612.0,,,5021.0
79702,2021-10-05,Suffolk,Revere,12-15 Years,2613.0,2091.0,1808.0,,,283.0
79703,2021-10-05,Suffolk,Revere,16-19 Years,2844.0,2353.0,2036.0,,,317.0
79704,2021-10-05,Suffolk,Revere,20-29 Years,8303.0,7343.0,6334.0,,,1009.0
79705,2021-10-05,Suffolk,Revere,30-49 Years,17705.0,16235.0,14448.0,,,1787.0
79706,2021-10-05,Suffolk,Revere,50-64 Years,12184.0,10252.0,9346.0,,,906.0
79707,2021-10-05,Suffolk,Revere,65-74 Years,5047.0,4410.0,4086.0,,,324.0
79708,2021-10-05,Suffolk,Revere,75+ Years,4312.0,3229.0,2825.0,,,404.0
79709,2021-10-05,Suffolk,Revere,Total,60849.0,45913.0,40883.0,,,5030.0
82398,2021-10-12,Suffolk,Revere,12-15 Years,2613.0,2106.0,1829.0,,,277.0
82399,2021-10-12,Suffolk,Revere,16-19 Years,2844.0,2367.0,2052.0,,,315.0
82400,2021-10-12,Suffolk,Revere,20-29 Years,8303.0,7394.0,6401.0,,,993.0
82401,2021-10-12,Suffolk,Revere,30-49 Years,17705.0,16331.0,14574.0,,,1757.0
82402,2021-10-12,Suffolk,Revere,50-64 Years,12184.0,10301.0,9406.0,,,895.0
82403,2021-10-12,Suffolk,Revere,65-74 Years,5047.0,4418.0,4085.0,,,333.0
82404,2021-10-12,Suffolk,Revere,75+ Years,4312.0,3250.0,2838.0,,,412.0
82405,2021-10-12,Suffolk,Revere,Total,60849.0,46167.0,41185.0,,,4982.0
85094,2021-10-19,Suffolk,Revere,12-15 Years,2613.0,2116.0,1848.0,,,268.0
85095,2021-10-19,Suffolk,Revere,16-19 Years,2844.0,2381.0,2068.0,,,313.0
85096,2021-10-19,Suffolk,Revere,20-29 Years,8303.0,7452.0,6456.0,,,996.0
85097,2021-10-19,Suffolk,Revere,30-49 Years,17705.0,16403.0,14650.0,,,1753.0
85098,2021-10-19,Suffolk,Revere,50-64 Years,12184.0,10341.0,9443.0,,,898.0
85099,2021-10-19,Suffolk,Revere,65-74 Years,5047.0,4446.0,4097.0,,,349.0
85100,2021-10-19,Suffolk,Revere,75+ Years,4312.0,3281.0,2842.0,,,439.0
85101,2021-10-19,Suffolk,Revere,Total,60849.0,46420.0,41404.0,,,5016.0
87790,2021-10-26,Suffolk,Revere,12-15 Years,2613.0,2129.0,1856.0,,,273.0
87791,2021-10-26,Suffolk,Revere,16-19 Years,2844.0,2383.0,2076.0,,,307.0
87792,2021-10-26,Suffolk,Revere,20-29 Years,8303.0,7524.0,6509.0,,,1015.0
87793,2021-10-26,Suffolk,Revere,30-49 Years,17705.0,16502.0,14743.0,,,1759.0
87794,2021-10-26,Suffolk,Revere,50-64 Years,12184.0,10376.0,9474.0,,,902.0
87795,2021-10-26,Suffolk,Revere,65-74 Years,5047.0,4485.0,4108.0,,,377.0
87796,2021-10-26,Suffolk,Revere,75+ Years,4312.0,3302.0,2841.0,,,461.0
87797,2021-10-26,Suffolk,Revere,Total,60849.0,46701.0,41607.0,,,5094.0
