date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-05-11,Norfolk,Wellesley,0-19 Years,9572,1722,843,,,879
2021-05-11,Norfolk,Wellesley,20-29 Years,4462,2462,1456,,,1006
2021-05-11,Norfolk,Wellesley,30-49 Years,5413,4622,3320,,,1302
2021-05-11,Norfolk,Wellesley,50-64 Years,5510,5342,4498,,,844
2021-05-11,Norfolk,Wellesley,65-74 Years,2621,2180,1967,,,213
2021-05-11,Norfolk,Wellesley,75+ Years,2135,2067,1893,,,174
2021-05-11,Norfolk,Wellesley,Total,29713,18395,13977,,,4418
2021-05-18,Suffolk,Chelsea,12-15 Years,1768,231,0,,,231
2021-05-18,Suffolk,Chelsea,16-19 Years,1762,1013,587,,,426
2021-05-18,Suffolk,Chelsea,20-29 Years,6170,3601,2422,,,1179
2021-05-18,Suffolk,Chelsea,30-49 Years,11744,9030,6530,,,2500
2021-05-18,Suffolk,Chelsea,50-64 Years,5861,5371,4354,,,1017
2021-05-18,Suffolk,Chelsea,65-74 Years,2092,2012,1783,,,229
2021-05-18,Suffolk,Chelsea,75+ Years,1471,1362,1202,,,160
2021-05-18,Suffolk,Chelsea,Total,36918,22621,0,,,5743
2021-05-18,Suffolk,Revere,12-15 Years,2613,338,0,,,338
2021-05-18,Suffolk,Revere,16-19 Years,2844,1447,758,,,689
2021-05-18,Suffolk,Revere,20-29 Years,8303,5015,3346,,,1669
2021-05-18,Suffolk,Revere,30-49 Years,17705,12304,9006,,,3298
2021-05-18,Suffolk,Revere,50-64 Years,12184,8790,7171,,,1619
2021-05-18,Suffolk,Revere,65-74 Years,5047,4037,3610,,,427
2021-05-18,Suffolk,Revere,75+ Years,4312,3043,2625,,,418
2021-05-18,Suffolk,Revere,Total,60849,34974,0,,,8458
2021-05-18,Middlesex,Newton,12-15 Years,4932,2291,1,,,2290
2021-05-18,Middlesex,Newton,16-19 Years,8329,4655,2923,,,1732
2021-05-18,Middlesex,Newton,20-29 Years,12487,8105,5914,,,2191
2021-05-18,Middlesex,Newton,30-49 Years,19706,18749,14841,,,3908
2021-05-18,Middlesex,Newton,50-64 Years,17494,17180,15078,,,2102
2021-05-18,Middlesex,Newton,65-74 Years,9938,10155,9257,,,898
2021-05-18,Middlesex,Newton,75+ Years,7438,7529,6884,,,645
2021-05-18,Middlesex,Newton,Total,91690,68664,54898,,,13766
2021-05-18,Norfolk,Wellesley,12-15 Years,1831,695,0,,,695
2021-05-18,Norfolk,Wellesley,16-19 Years,3319,1793,1099,,,694
2021-05-18,Norfolk,Wellesley,20-29 Years,4462,2523,1721,,,802
2021-05-18,Norfolk,Wellesley,30-49 Years,5413,4667,3710,,,957
2021-05-18,Norfolk,Wellesley,50-64 Years,5510,5371,4728,,,643
2021-05-18,Norfolk,Wellesley,65-74 Years,2621,2181,1980,,,201
2021-05-18,Norfolk,Wellesley,75+ Years,2135,2069,1899,,,170
2021-05-18,Norfolk,Wellesley,Total,29713,19299,15137,,,4162
2021-05-25,Suffolk,Chelsea,12-15 Years,1768,551,0,,,549
2021-05-25,Suffolk,Chelsea,16-19 Years,1762,1133,670,,,463
2021-05-25,Suffolk,Chelsea,20-29 Years,6170,3814,2664,,,1150
2021-05-25,Suffolk,Chelsea,30-49 Years,11744,9522,6999,,,2523
2021-05-25,Suffolk,Chelsea,50-64 Years,5861,5510,4538,,,972
2021-05-25,Suffolk,Chelsea,65-74 Years,2092,2032,1812,,,220
2021-05-25,Suffolk,Chelsea,75+ Years,1471,1371,1217,,,154
2021-05-25,Suffolk,Chelsea,Total,36918,23934,0,,,6032
2021-05-25,Suffolk,Revere,12-15 Years,2613,704,0,,,704
2021-05-25,Suffolk,Revere,16-19 Years,2844,1590,978,,,612
2021-05-25,Suffolk,Revere,20-29 Years,8303,5304,3825,,,1479
2021-05-25,Suffolk,Revere,30-49 Years,17705,12908,9994,,,2914
2021-05-25,Suffolk,Revere,50-64 Years,12184,9018,7614,,,1404
2021-05-25,Suffolk,Revere,65-74 Years,5047,4085,3685,,,400
2021-05-25,Suffolk,Revere,75+ Years,4312,3063,2657,,,406
2021-05-25,Suffolk,Revere,Total,60849,36672,0,,,7919
2021-05-25,Middlesex,Newton,12-15 Years,4932,3137,1,,,3136
2021-05-25,Middlesex,Newton,16-19 Years,8329,4760,3471,,,1289
2021-05-25,Middlesex,Newton,20-29 Years,12487,8251,6563,,,1688
2021-05-25,Middlesex,Newton,30-49 Years,19706,18964,16136,,,2828
2021-05-25,Middlesex,Newton,50-64 Years,17494,17301,15574,,,1727
2021-05-25,Middlesex,Newton,65-74 Years,9938,10179,9308,,,871
2021-05-25,Middlesex,Newton,75+ Years,7438,7553,6912,,,641
2021-05-25,Middlesex,Newton,Total,91690,70145,57965,,,12180
2021-05-25,Norfolk,Wellesley,12-15 Years,1831,1003,0,,,1003
2021-05-25,Norfolk,Wellesley,16-19 Years,3319,1835,1308,,,527
2021-05-25,Norfolk,Wellesley,20-29 Years,4462,2550,1913,,,637
2021-05-25,Norfolk,Wellesley,30-49 Years,5413,4716,4033,,,683
2021-05-25,Norfolk,Wellesley,50-64 Years,5510,5396,4901,,,495
2021-05-25,Norfolk,Wellesley,65-74 Years,2621,2184,1987,,,197
2021-05-25,Norfolk,Wellesley,75+ Years,2135,2072,1903,,,169
2021-05-25,Norfolk,Wellesley,Total,29713,19757,16045,,,3712
2021-06-01,Suffolk,Chelsea,12-15 Years,1768,681,0,,,678
2021-06-01,Suffolk,Chelsea,16-19 Years,1762,1213,778,,,435
2021-06-01,Suffolk,Chelsea,20-29 Years,6170,4019,2944,,,1075
2021-06-01,Suffolk,Chelsea,30-49 Years,11744,9905,7547,,,2358
2021-06-01,Suffolk,Chelsea,50-64 Years,5861,5628,4725,,,903
2021-06-01,Suffolk,Chelsea,65-74 Years,2092,2046,1844,,,202
2021-06-01,Suffolk,Chelsea,75+ Years,1471,1381,1238,,,143
2021-06-01,Suffolk,Chelsea,Total,36918,24874,0,,,5795
2021-06-01,Suffolk,Revere,12-15 Years,2613,1026,0,,,1026
2021-06-01,Suffolk,Revere,16-19 Years,2844,1688,1158,,,530
2021-06-01,Suffolk,Revere,20-29 Years,8303,5540,4261,,,1279
2021-06-01,Suffolk,Revere,30-49 Years,17705,13265,10819,,,2446
2021-06-01,Suffolk,Revere,50-64 Years,12184,9185,7960,,,1225
2021-06-01,Suffolk,Revere,65-74 Years,5047,4118,3755,,,363
2021-06-01,Suffolk,Revere,75+ Years,4312,3071,2681,,,390
2021-06-01,Suffolk,Revere,Total,60849,37893,0,,,7259
2021-06-01,Middlesex,Newton,12-15 Years,4932,3400,19,,,3381
2021-06-01,Middlesex,Newton,16-19 Years,8329,4837,3767,,,1070
2021-06-01,Middlesex,Newton,20-29 Years,12487,8396,6953,,,1443
2021-06-01,Middlesex,Newton,30-49 Years,19706,19122,16750,,,2372
2021-06-01,Middlesex,Newton,50-64 Years,17494,17385,15839,,,1546
2021-06-01,Middlesex,Newton,65-74 Years,9938,10211,9358,,,853
2021-06-01,Middlesex,Newton,75+ Years,7438,7557,6934,,,623
2021-06-01,Middlesex,Newton,Total,91690,70908,59620,,,11288
2021-06-01,Norfolk,Wellesley,12-15 Years,1831,1367,0,,,1367
2021-06-01,Norfolk,Wellesley,16-19 Years,3319,1901,1429,,,472
2021-06-01,Norfolk,Wellesley,20-29 Years,4462,2583,2040,,,543
2021-06-01,Norfolk,Wellesley,30-49 Years,5413,4751,4217,,,534
2021-06-01,Norfolk,Wellesley,50-64 Years,5510,5425,5006,,,419
2021-06-01,Norfolk,Wellesley,65-74 Years,2621,2186,1997,,,189
2021-06-01,Norfolk,Wellesley,75+ Years,2135,2077,1914,,,163
2021-06-01,Norfolk,Wellesley,Total,29713,20292,16603,,,3689
2021-06-08,Suffolk,Chelsea,12-15 Years,1768,810,205,,,605
2021-06-08,Suffolk,Chelsea,16-19 Years,1762,1307,897,,,410
2021-06-08,Suffolk,Chelsea,20-29 Years,6170,4227,3207,,,1020
2021-06-08,Suffolk,Chelsea,30-49 Years,11744,10289,8134,,,2155
2021-06-08,Suffolk,Chelsea,50-64 Years,5861,5753,4922,,,831
2021-06-08,Suffolk,Chelsea,65-74 Years,2092,2060,1891,,,169
2021-06-08,Suffolk,Chelsea,75+ Years,1471,1398,1250,,,148
2021-06-08,Suffolk,Chelsea,Total,36918,25845,20506,,,5339
2021-06-08,Suffolk,Revere,12-15 Years,2613,1185,294,,,891
2021-06-08,Suffolk,Revere,16-19 Years,2844,1788,1318,,,470
2021-06-08,Suffolk,Revere,20-29 Years,8303,5786,4625,,,1161
2021-06-08,Suffolk,Revere,30-49 Years,17705,13697,11491,,,2206
2021-06-08,Suffolk,Revere,50-64 Years,12184,9330,8232,,,1098
2021-06-08,Suffolk,Revere,65-74 Years,5047,4151,3796,,,355
2021-06-08,Suffolk,Revere,75+ Years,4312,3082,2697,,,385
2021-06-08,Suffolk,Revere,Total,60849,39019,32453,,,6566
2021-06-08,Middlesex,Newton,12-15 Years,4932,3884,2180,,,1704
2021-06-08,Middlesex,Newton,16-19 Years,8329,4922,4089,,,833
2021-06-08,Middlesex,Newton,20-29 Years,12487,8520,7308,,,1212
2021-06-08,Middlesex,Newton,30-49 Years,19706,19292,17416,,,1876
2021-06-08,Middlesex,Newton,50-64 Years,17494,17472,16087,,,1385
2021-06-08,Middlesex,Newton,65-74 Years,9938,10240,9392,,,848
2021-06-08,Middlesex,Newton,75+ Years,7438,7571,6952,,,619
2021-06-08,Middlesex,Newton,Total,91690,71901,63424,,,8477
2021-06-08,Norfolk,Wellesley,12-15 Years,1831,1503,623,,,880
2021-06-08,Norfolk,Wellesley,16-19 Years,3319,1919,1557,,,362
2021-06-08,Norfolk,Wellesley,20-29 Years,4462,2613,2162,,,451
